url,is_malicious,domain,has_ip_address,path,length,num_subdomains,has special char,tld,query_parameter
https://webpages.charter.net/sbratcher/zookpr.htm,FALSE,webpages.charter.net,No,/sbratcher/zookpr.htm,49,0,No,charter.net,
https://website.lineone.net/~markpruce/,FALSE,website.lineone.net,No,/~markpruce/,39,40,No,lineone.net,
https://webspace.webring.com/people/sm/moviesneak/,FALSE,webspace.webring.com,No,/people/sm/moviesneak/,50,31,No,webring.com,
https://wellcomelibrary.org/,FALSE,wellcomelibrary.org,No,/,28,42,No,org,
https://wfmh.org.pl/projects/delfina/,FALSE,wfmh.org.pl,No,/projects/delfina/,37,21,No,org.pl,
https://wherehouse.com/,FALSE,wherehouse.com,No,/,23,29,No,com,
https://whispers.theshoppe.com/,FALSE,whispers.theshoppe.com,No,/,31,16,No,theshoppe.com,
https://wildzone.it/,FALSE,wildzone.it,No,/,20,23,No,it,
https://winelibrary.com/,FALSE,winelibrary.com,No,/,24,13,No,com,
https://wiredforbooks.org/,FALSE,wiredforbooks.org,No,/,26,17,No,org,
https://workmorale.blogspot.com/,FALSE,workmorale.blogspot.com,No,/,32,19,No,blogspot.com,
https://worldofdth.com/,FALSE,worldofdth.com,No,/,23,24,No,com,
https://wrmin.nic.in/,FALSE,wrmin.nic.in,No,/,21,16,No,nic.in,
https://www-ali.cs.umass.edu/,FALSE,www-ali.cs.umass.edu,No,/,29,13,No,cs.umass.edu,
https://www-ccs.cs.umass.edu/db/organizations.html,FALSE,www-ccs.cs.umass.edu,No,/db/organizations.html,50,20,No,cs.umass.edu,
https://www-groups.dcs.st-and.ac.uk/~history/Mathematicians/Frisi.html,FALSE,www-groups.dcs.st-and.ac.uk,No,/~history/Mathematicians/Frisi.html,70,40,No,dcs.st-and.ac.uk,
https://www-groups.dcs.st-and.ac.uk/~history/Indexes/Indians.html,FALSE,www-groups.dcs.st-and.ac.uk,No,/~history/Indexes/Indians.html,65,59,No,dcs.st-and.ac.uk,
https://www-history.mcs.st-andrews.ac.uk/,FALSE,www-history.mcs.st-andrews.ac.uk,No,/,41,54,No,mcs.st-andrews.ac.uk,
https://www.0.csueastbay.edu/,FALSE,www.0.csueastbay.edu,No,/,29,31,No,0.csueastbay.edu,
https://www.0.dacafe.com/IP/,FALSE,www.0.dacafe.com,No,/IP/,28,20,No,0.dacafe.com,
https://www.0.statcan.ca/l01/cst01/educ53a-eng.htm,FALSE,www.0.statcan.ca,No,/l01/cst01/educ53a-eng.htm,50,19,No,0.statcan.ca,
https://www.0.statcan.gc.ca/l01/cst01/educ54a-eng.htm,FALSE,www.0.statcan.gc.ca,No,/l01/cst01/educ54a-eng.htm,53,40,No,0.statcan.gc.ca,
https://www.0123456789.biz/,FALSE,www.0123456789.biz,No,/,27,42,No,0123456789.biz,
https://www.0123movies.com,FALSE,www.0123movies.com,No,/,26,19,No,0123movies.com,
https://www.01carprices.com/,FALSE,www.01carprices.com,No,/,28,18,No,01carprices.com,
https://www.01direct.net/search.php?q=kat+tun+pv+eng+sub,FALSE,www.01direct.net,No,/search.php?q=kat+tun+pv+eng+sub,56,20,No,01direct.net,q=kat+tun+pv+eng+sub
https://www.01net.com,FALSE,www.01net.com,No,/,21,47,No,01net.com,
https://www.03.ibm.com/press/us/en/pressrelease/21823.wss,FALSE,www.03.ibm.com,No,/press/us/en/pressrelease/21823.wss,57,13,No,03.ibm.com,
https://www.03.ibm.com/press/us/en/pressrelease/25400.wss,FALSE,www.03.ibm.com,No,/press/us/en/pressrelease/25400.wss,57,47,No,03.ibm.com,
https://www.03.ibm.com/press/us/en/pressrelease/32148.wss,FALSE,www.03.ibm.com,No,/press/us/en/pressrelease/32148.wss,57,47,No,03.ibm.com,
https://www.03.ibm.com/press/us/en/pressrelease/33365.wss,FALSE,www.03.ibm.com,No,/press/us/en/pressrelease/33365.wss,57,47,No,03.ibm.com,
https://www.allthelyrics.com/lyrics/foxboro_hot_tubs/,FALSE,www.allthelyrics.com,No,/lyrics/foxboro_hot_tubs/,53,47,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/gyroscope/,FALSE,www.allthelyrics.com,No,/lyrics/gyroscope/,46,45,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/jeffrey_steele/,FALSE,www.allthelyrics.com,No,/lyrics/jeffrey_steele/,51,38,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/kattun/,FALSE,www.allthelyrics.com,No,/lyrics/kattun/,43,43,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/les_colocs/,FALSE,www.allthelyrics.com,No,/lyrics/les_colocs/,47,35,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/malajube/,FALSE,www.allthelyrics.com,No,/lyrics/malajube/,45,39,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/mark_curry/,FALSE,www.allthelyrics.com,No,/lyrics/mark_curry/,47,37,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/tea_party/,FALSE,www.allthelyrics.com,No,/lyrics/tea_party/,46,39,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/tony_toni_tone/,FALSE,www.allthelyrics.com,No,/lyrics/tony_toni_tone/,51,38,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/vermillion_lies/,FALSE,www.allthelyrics.com,No,/lyrics/vermillion_lies/,52,43,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/vermillion_lies/circus_apocalypse-lyrics-1257235.html,FALSE,www.allthelyrics.com,No,/lyrics/vermillion_lies/circus_apocalypse-lyrics-1257235.html,89,44,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/wendy_matthews/,FALSE,www.allthelyrics.com,No,/lyrics/wendy_matthews/,51,80,No,allthelyrics.com,
https://www.allthelyrics.com/lyrics/wild_wild_west_soundtrack/,FALSE,www.allthelyrics.com,No,/lyrics/wild_wild_west_soundtrack/,62,43,No,allthelyrics.com,
https://www.alltherapist.com/donald-mills.html,FALSE,www.alltherapist.com,No,/donald-mills.html,46,54,No,alltherapist.com,
https://www.alltherapist.com/dr-paul-gleason.html,FALSE,www.alltherapist.com,No,/dr-paul-gleason.html,49,37,No,alltherapist.com,
https://www.allthingsdeep.com/dge/coke_escovedo.htm,FALSE,www.allthingsdeep.com,No,/dge/coke_escovedo.htm,51,40,No,allthingsdeep.com,
https://www.allthingshealing.com/abeditor.php,FALSE,www.allthingshealing.com,No,/abeditor.php,45,42,No,allthingshealing.com,
https://www.allthingsnow.com/all/:Acad,FALSE,www.allthingsnow.com,No,/all/:Acad,38,36,No,allthingsnow.com,
